condition,episode,episode_idx,save_idx,phase_target,phase_error,eef_z,path,action_key,action_dim,action_value
low,episode_000000,0,0,0.0,0.0,0.014901075721451287,debug_runs/20260529_112911_low/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt,action_values.1,1,95.65654754638672
low,episode_000000,0,0,0.0,0.0,0.014901075721451287,debug_runs/20260529_112911_low/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt,action_values.2,2,15.195274353027344
low,episode_000000,0,0,0.0,0.0,0.014901075721451287,debug_runs/20260529_112911_low/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt,action_values.3,3,-85.96327209472656
low,episode_000000,0,0,0.0,0.0,0.014901075721451287,debug_runs/20260529_112911_low/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt,action_values.4,4,-6.504555702209473
low,episode_000000,0,0,0.0,0.0,0.014901075721451287,debug_runs/20260529_112911_low/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt,action_values.5,5,48.357513427734375
low,episode_000001,1,0,0.0,0.0,0.0159048328660929,debug_runs/20260529_112911_low/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt,action_values.0,0,-12.396909713745117
low,episode_000001,1,0,0.0,0.0,0.0159048328660929,debug_runs/20260529_112911_low/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt,action_values.1,1,100.14459228515625
low,episode_000001,1,0,0.0,0.0,0.0159048328660929,debug_runs/20260529_112911_low/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt,action_values.2,2,15.429847717285156
low,episode_000001,1,0,0.0,0.0,0.0159048328660929,debug_runs/20260529_112911_low/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt,action_values.3,3,-84.18617248535156
low,episode_000001,1,0,0.0,0.0,0.0159048328660929,debug_runs/20260529_112911_low/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt,action_values.4,4,-8.837739944458008
low,episode_000001,1,0,0.0,0.0,0.0159048328660929,debug_runs/20260529_112911_low/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt,action_values.5,5,47.990875244140625
low,episode_000002,2,0,0.0,0.0,0.015729100729455547,debug_runs/20260529_112911_low/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,action_values.0,0,-12.416171073913574
low,episode_000002,2,0,0.0,0.0,0.015729100729455547,debug_runs/20260529_112911_low/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,action_values.1,1,99.55242919921875
low,episode_000002,2,0,0.0,0.0,0.015729100729455547,debug_runs/20260529_112911_low/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,action_values.2,2,12.754981994628906
low,episode_000002,2,0,0.0,0.0,0.015729100729455547,debug_runs/20260529_112911_low/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,action_values.3,3,-86.35113525390625
low,episode_000002,2,0,0.0,0.0,0.015729100729455547,debug_runs/20260529_112911_low/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,action_values.4,4,-8.854205131530762
low,episode_000002,2,0,0.0,0.0,0.015729100729455547,debug_runs/20260529_112911_low/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,action_values.5,5,48.729827880859375
low,episode_000003,3,0,0.0,0.0,0.01638680060594433,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,action_values.0,0,-12.60449504852295
low,episode_000003,3,0,0.0,0.0,0.01638680060594433,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,action_values.1,1,100.29719543457031
low,episode_000003,3,0,0.0,0.0,0.01638680060594433,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,action_values.2,2,13.524177551269531
low,episode_000003,3,0,0.0,0.0,0.01638680060594433,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,action_values.3,3,-84.87057495117188
low,episode_000003,3,0,0.0,0.0,0.01638680060594433,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,action_values.4,4,-8.805943489074707
low,episode_000003,3,0,0.0,0.0,0.01638680060594433,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,action_values.5,5,47.992027282714844
low,episode_000004,4,1,0.0,0.0,0.012984005785546995,debug_runs/20260529_112911_low/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-10.48020076751709
low,episode_000004,4,1,0.0,0.0,0.012984005785546995,debug_runs/20260529_112911_low/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,34.73954772949219
low,episode_000004,4,1,0.0,0.0,0.012984005785546995,debug_runs/20260529_112911_low/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-15.66502571105957
low,episode_000004,4,1,0.0,0.0,0.012984005785546995,debug_runs/20260529_112911_low/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-76.5405044555664
