condition,condition_root,episode,episode_idx,save_idx,raw_chunk_id,eef_z,path,filename,task,metadata_intervention,state_dim,num_action_dims,num_obs_dims,eef_z_start,eef_z_delta_from_start,eef_z_min,eef_z_max,eef_z_range,eef_z_norm_in_episode,peak_chunk,eef_height_phase
high,debug_runs/20260529_112158_high,episode_000001,1,3,3,0.08878510589975815,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_3_003_observation_frame.pt,debug_chunk_rawid_3_003_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.015992823842293585,0.07279228205746456,0.007195553532914387,0.10474202537730397,0.09754647184438958,0.836417256556434,2,high_height
high,debug_runs/20260529_112158_high,episode_000001,1,4,4,0.06252537901538197,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_4_004_observation_frame.pt,debug_chunk_rawid_4_004_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.015992823842293585,0.04653255517308838,0.007195553532914387,0.10474202537730397,0.09754647184438958,0.5672150354216003,2,high_height
high,debug_runs/20260529_112158_high,episode_000002,2,0,0,0.015705141851468596,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,debug_chunk_rawid_0_000_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.015705141851468596,0.0,0.006139939929006494,0.10457579273633269,0.0984358528073262,0.09717193125948315,2,low_height
high,debug_runs/20260529_112158_high,episode_000002,2,1,1,0.006139939929006494,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,debug_chunk_rawid_1_001_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.015705141851468596,-0.009565201922462102,0.006139939929006494,0.10457579273633269,0.0984358528073262,0.0,2,low_height
high,debug_runs/20260529_112158_high,episode_000002,2,2,2,0.10457579273633269,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,debug_chunk_rawid_2_002_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.015705141851468596,0.0888706508848641,0.006139939929006494,0.10457579273633269,0.0984358528073262,1.0,2,near_peak
high,debug_runs/20260529_112158_high,episode_000002,2,3,3,0.08046076208430311,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_3_003_observation_frame.pt,debug_chunk_rawid_3_003_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.015705141851468596,0.06475562023283452,0.006139939929006494,0.10457579273633269,0.0984358528073262,0.7550178114550272,2,high_height
high,debug_runs/20260529_112158_high,episode_000002,2,4,4,0.07531995496842123,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_4_004_observation_frame.pt,debug_chunk_rawid_4_004_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.015705141851468596,0.05961481311695263,0.006139939929006494,0.10457579273633269,0.0984358528073262,0.7027928652665255,2,high_height
high,debug_runs/20260529_112158_high,episode_000003,3,0,0,0.015609547102486479,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,debug_chunk_rawid_0_000_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.015609547102486479,0.0,0.005950528071575936,0.07158760308163686,0.06563707501006093,0.14715797480966356,2,low_height
high,debug_runs/20260529_112158_high,episode_000003,3,1,1,0.005950528071575936,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,debug_chunk_rawid_1_001_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.015609547102486479,-0.009659019030910543,0.005950528071575936,0.07158760308163686,0.06563707501006093,0.0,2,low_height
high,debug_runs/20260529_112158_high,episode_000003,3,2,2,0.07158760308163686,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,debug_chunk_rawid_2_002_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.015609547102486479,0.055978055979150385,0.005950528071575936,0.07158760308163686,0.06563707501006093,1.0,2,near_peak
